"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"67","Jalen Guyton (LAC)","31","48","448","14.5","59","10","3","7","34","0","0","16","66.2","4.1","3.4%"
"68","Randall Cobb (NYJ)","28","39","375","13.4","54","11","5","1","1","0","1","11","65.6","6.0","0.3%"
"69","Laviska Shenault Jr. (CAR)","63","100","619","9.8","58","11","0","11","41","0","1","16","64.0","4.0","0.1%"
"70","DeVante Parker (NE)","40","73","515","12.9","42","11","2","0","0","0","0","10","63.5","6.4","2.8%"
"71","DeAndre Carter (LV)","24","44","296","12.3","26","5","3","10","89","0","0","17","62.5","3.7","0.1%"
"72","Freddie Swain (MIA)","25","40","343","13.7","68","13","4","5","32","0","0","17","61.5","3.6","0.0%"
"73","Marquez Valdes-Scantling (KC)","26","55","430","16.5","75","17","3","0","0","0","0","11","61.0","5.5","3.8%"
"74","Henry Ruggs III (FA)","24","36","469","19.5","61","21","2","3","16","0","0","7","60.5","8.6","10.9%"
"75","Joshua Palmer (LAC)","33","49","353","10.7","36","4","4","1","6","0","0","15","59.9","4.0","25.6%"
"76","Zay Jones (JAC)","47","70","546","11.6","43","14","1","2","3","0","1","15","58.9","3.9","23.7%"
"77","Olamide Zaccheaus (PHI)","31","53","406","13.1","49","9","3","1","2","0","0","15","58.8","3.9","0.1%"
"78","Jamison Crowder (WAS)","51","71","447","8.8","29","3","2","0","0","0","1","12","58.7","4.9","0.1%"
"79","Jauan Jennings (SF)","24","38","282","11.8","34","5","5","0","0","0","0","13","58.2","4.5","0.7%"
"80","Rashod Bateman (BAL)","46","68","515","11.2","36","12","1","0","0","0","0","12","57.5","4.8","9.9%"
"81","Michael Gallup (DAL)","35","62","445","12.7","41","11","2","0","0","0","0","9","56.5","6.3","19.7%"
"82","Zach Pascal (ARI)","38","69","384","10.1","41","9","3","2","21","0","1","16","56.5","3.5","0.0%"
"83","DeSean Jackson (FA)","20","34","454","22.7","75","19","2","1","4","0","1","14","55.8","4.0","1.0%"
"84","Tre'Quan Smith (DEN)","32","50","377","11.8","34","7","3","0","0","0","0","10","55.7","5.6","0.0%"
"85","Rondale Moore (ARI)","54","64","435","8.1","77","7","1","18","76","0","1","14","55.1","3.9","21.2%"
"86","Kenny Golladay (FA)","37","76","521","14.1","36","6","0","0","0","0","0","14","52.1","3.7","4.0%"
"87","Jamal Agnew (JAC)","24","39","229","9.5","29","4","1","7","111","1","0","12","52.0","4.3","0.2%"
"88","Josh Reynolds (DET)","29","49","396","13.7","39","7","2","0","0","0","0","11","51.6","4.7","11.4%"
"89","T.Y. Hilton (FA)","23","37","331","14.4","52","11","3","0","0","0","0","10","51.1","5.1","3.0%"
"90","Keelan Cole Sr. (LV)","28","51","449","16.0","54","12","1","0","0","0","0","14","50.9","3.6","0.0%"
"91","Nico Collins (HOU)","33","60","446","13.5","32","11","1","0","0","0","0","14","50.6","3.6","92.0%"
"92","Julio Jones (PHI)","31","48","434","14.0","51","9","1","0","0","0","0","10","49.4","4.9","1.5%"
"93","Laquon Treadwell (BAL)","33","51","434","13.2","41","10","1","0","0","0","0","12","49.4","4.1","0.0%"
"94","Allen Robinson II (PIT)","38","66","410","10.8","39","6","1","0","0","0","0","12","49.0","4.1","1.1%"
"95","Jerry Jeudy (DEN)","38","56","467","12.3","40","10","0","2","3","0","0","10","47.0","4.7","63.9%"
"96","Mack Hollins (ATL)","14","28","223","15.9","65","9","4","0","0","0","0","16","46.3","2.9","0.4%"
"97","Jalen Reagor (NE)","33","57","299","9.1","34","5","2","10","32","0","0","17","45.1","2.7","0.1%"
"98","Danny Amendola (FA)","24","38","248","10.3","39","6","3","0","0","0","0","8","44.8","5.6","0.0%"
"99","Demarcus Robinson (LAR)","25","41","264","10.6","33","4","3","0","0","0","0","15","44.4","3.0","0.1%"
"100","Devin Duvernay (BAL)","33","47","272","8.2","21","1","2","7","50","0","0","16","44.2","2.8","0.1%"
"101","Sammy Watkins (FA)","27","49","394","14.6","49","9","1","0","0","0","1","11","43.4","3.9","0.0%"
"102","Kadarius Toney (KC)","39","57","420","10.8","38","7","0","3","6","0","0","9","43.4","4.8","12.1%"
